location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated;stringency_index
Indonesia;;;;;;5.56
Indonesia;;;;;;5.56
Indonesia;;;;;;5.56
Indonesia;;;;;;5.56
Indonesia;;;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;5.56
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;8.33
Indonesia;0.0;0.0;;;;13.89
Indonesia;0.0;0.0;;;;13.89
Indonesia;0.0;0.0;;;;13.89
Indonesia;0.0;0.0;;;;13.89
Indonesia;0.0;0.0;;;;13.89
Indonesia;0.0;0.0;;;;23.15
Indonesia;0.0;0.0;;;;23.15
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.0;0.0;;;;28.7
Indonesia;0.286;0.0;;;;28.7
Indonesia;0.857;0.0;;;;37.04
Indonesia;0.857;0.0;;;;37.04
Indonesia;0.857;0.0;;;;37.04
Indonesia;1.143;0.0;;;;37.04
Indonesia;1.143;0.0;;;;37.04
Indonesia;1.429;0.0;;;;37.04
Indonesia;;0.0;;;;37.04
Indonesia;2.429;0.0;;;;37.04
Indonesia;3.571;0.143;;;;37.04
Indonesia;4.571;0.143;;;;37.04
Indonesia;4.857;0.286;;;;37.04
Indonesia;9.286;0.571;;;;37.04
Indonesia;15.857;0.571;;;;40.74
Indonesia;18.286;0.714;2.07;;;45.37
Indonesia;21.857;0.714;2.12;;;42.59
Indonesia;28.571;2.571;2.16;;;42.59
Indonesia;39.286;3.429;2.16;;;45.37
Indonesia;47.286;4.286;2.07;;;45.37
Indonesia;54.429;4.857;2.01;;;45.37
Indonesia;56.714;6.286;1.93;;;45.37
Indonesia;63.571;6.286;1.88;;;48.15
Indonesia;73.429;7.143;1.84;;;48.15
Indonesia;80.429;5.571;1.77;;;48.15
Indonesia;83.429;7.571;1.72;;;48.15
Indonesia;96.714;7.857;1.69;;;48.15
Indonesia;100.714;9.143;1.63;;;48.15
Indonesia;110.143;9.429;1.59;;;50.93
Indonesia;119.286;10.429;1.54;;;50.93
Indonesia;120.286;11.571;1.47;;;50.93
Indonesia;126.714;14.143;1.44;;;50.93
Indonesia;128.143;13.143;1.42;;;50.93
Indonesia;134.286;13.429;1.44;;;50.93
Indonesia;133.857;12.714;1.45;;;50.93
Indonesia;141.143;12.0;1.5;;;50.93
Indonesia;153.857;12.429;1.55;;;50.93
Indonesia;172.857;12.143;1.55;;;60.65
Indonesia;182.714;11.857;1.53;;;60.65
Indonesia;214.714;15.714;1.53;;;60.65
Indonesia;218.0;17.857;1.5;;;71.76
Indonesia;250.0;19.429;1.51;;;71.76
Indonesia;281.143;25.0;1.49;;;71.76
Indonesia;295.143;27.143;1.43;;;71.76
Indonesia;300.143;34.0;1.35;;;71.76
Indonesia;311.429;32.714;1.31;;;71.76
Indonesia;317.571;30.857;1.28;;;71.76
Indonesia;344.429;30.571;1.24;;;71.76
Indonesia;343.714;29.714;1.2;;;71.76
Indonesia;333.429;29.857;1.17;;;71.76
Indonesia;314.714;27.286;1.13;;;71.76
Indonesia;328.0;22.429;1.12;;;71.76
Indonesia;326.0;23.714;1.11;;;71.76
Indonesia;322.714;21.571;1.11;;;71.76
Indonesia;326.857;24.143;1.11;;;80.09
Indonesia;337.0;26.429;1.1;;;80.09
Indonesia;329.571;23.0;1.07;;;80.09
Indonesia;333.714;25.0;1.06;;;80.09
Indonesia;339.429;22.429;1.06;;;80.09
Indonesia;336.143;21.286;1.05;;;80.09
Indonesia;334.714;20.714;1.06;;;80.09
Indonesia;334.286;15.857;1.08;;;80.09
Indonesia;319.429;15.857;1.09;;;80.09
Indonesia;330.0;14.571;1.12;;;74.54
Indonesia;355.857;14.143;1.14;;;74.54
Indonesia;365.714;14.143;1.13;;;74.54
Indonesia;381.0;15.857;1.1;;;74.54
Indonesia;379.714;19.714;1.09;;;74.54
Indonesia;365.857;20.429;1.11;;;74.54
Indonesia;400.286;18.286;1.14;;;74.54
Indonesia;405.714;18.286;1.15;;;74.54
Indonesia;382.571;18.143;1.17;;;74.54
Indonesia;382.571;19.286;1.21;;;74.54
Indonesia;428.571;19.0;1.24;;;74.54
Indonesia;461.429;16.143;1.22;;;74.54
Indonesia;483.429;19.0;1.21;;;74.54
Indonesia;482.857;18.571;1.2;;;74.54
Indonesia;497.429;25.0;1.21;;;74.54
Indonesia;535.0;28.571;1.23;;;74.54
Indonesia;535.286;30.571;1.23;;;74.54
Indonesia;535.857;30.571;1.25;;;71.76
Indonesia;593.714;33.571;1.26;;;71.76
Indonesia;614.286;35.714;1.23;;;71.76
Indonesia;674.286;37.429;1.2;;;71.76
Indonesia;679.571;32.0;1.14;;;71.76
Indonesia;677.143;28.571;1.09;;;71.76
Indonesia;667.0;28.143;1.06;;;71.76
Indonesia;666.0;33.0;1.06;;;71.76
Indonesia;625.143;31.143;1.06;;;71.76
Indonesia;631.429;27.714;1.06;;;71.76
Indonesia;575.429;31.714;1.05;;;71.76
Indonesia;600.286;34.429;1.07;;;71.76
Indonesia;598.571;35.714;1.07;;;71.76
Indonesia;626.286;35.0;1.08;;;71.76
Indonesia;626.0;32.143;1.09;;;71.76
Indonesia;611.429;32.143;1.12;;;71.76
Indonesia;615.0;35.714;1.16;;;71.76
Indonesia;677.286;32.571;1.21;;;71.76
Indonesia;673.286;34.0;1.24;;;71.76
Indonesia;727.571;34.571;1.27;;;68.06
Indonesia;789.571;37.143;1.29;;;68.06
Indonesia;869.0;37.286;1.28;;;68.06
Indonesia;925.286;39.857;1.25;;;68.06
Indonesia;983.571;39.714;1.23;;;68.06
Indonesia;986.571;41.429;1.2;;;68.06
Indonesia;1013.0;40.429;1.19;;;68.06
Indonesia;1.037.286;45.0;1.18;;;68.06
Indonesia;1.046.286;44.0;1.17;;;68.06
Indonesia;1.016.429;45.286;1.15;;;68.06
Indonesia;1.066.714;48.429;1.14;;;68.06
Indonesia;1.056.714;46.429;1.12;;;68.06
Indonesia;1087.0;48.286;1.11;;;68.06
Indonesia;1.087.714;47.286;1.09;;;68.06
Indonesia;1.078.714;43.143;1.09;;;68.06
Indonesia;1.070.857;43.429;1.09;;;68.06
Indonesia;1.082.571;42.429;1.09;;;68.06
Indonesia;1.060.714;40.143;1.1;;;68.06
Indonesia;1.089.143;44.286;1.12;;;68.06
Indonesia;1.111.857;41.571;1.14;;;68.06
Indonesia;1.159.857;41.286;1.14;;;68.06
Indonesia;1.178.143;43.571;1.15;;;68.06
Indonesia;1.212.714;48.714;1.15;;;62.5
Indonesia;1.251.571;51.571;1.15;;;62.5
Indonesia;1.315.286;52.429;1.15;;;62.5
Indonesia;1324.0;50.429;1.15;;;62.5
Indonesia;1.332.857;52.714;1.16;;;62.5
Indonesia;1.391.286;59.571;1.17;;;62.5
Indonesia;1.409.429;62.286;1.17;;;62.5
Indonesia;1.405.857;61.857;1.18;;;62.5
Indonesia;1.472.714;60.714;1.2;;;62.5
Indonesia;1.620.286;61.429;1.2;;;62.5
Indonesia;1.664.571;61.857;1.16;;;62.5
Indonesia;1.696.571;63.714;1.12;;;62.5
Indonesia;1.707.143;62.143;1.1;;;62.5
Indonesia;1.717.571;59.286;1.07;;;62.5
Indonesia;1.763.714;57.286;1.05;;;62.5
Indonesia;1.716.429;62.571;1.03;;;62.5
Indonesia;1.561.714;65.143;1.02;;;62.5
Indonesia;1.540.429;69.714;1.03;;;62.5
Indonesia;1552.0;68.714;1.05;;;62.5
Indonesia;1546.0;76.714;1.07;;;62.5
Indonesia;1.604.714;83.286;1.08;;;62.5
Indonesia;1.613.857;87.143;1.07;;;62.5
Indonesia;1.665.286;94.571;1.07;;;62.5
Indonesia;1.712.714;100.429;1.06;;;62.5
Indonesia;1.755.429;101.143;1.05;;;62.5
Indonesia;1772.0;99.714;1.05;;;62.5
Indonesia;1751.0;91.143;1.05;;;62.5
Indonesia;1727.0;85.571;1.06;;;62.5
Indonesia;1.740.286;83.0;1.07;;;62.5
Indonesia;1.811.571;73.714;1.07;;;62.5
Indonesia;1.811.286;68.857;1.05;;;62.5
Indonesia;1.851.143;66.571;1.04;;;62.5
Indonesia;1.807.143;68.429;1.02;;;62.5
Indonesia;1811.0;65.0;1.03;;;62.5
Indonesia;1833.0;66.286;1.04;;;62.5
Indonesia;1.857.857;69.571;1.05;;;62.5
Indonesia;1777.0;68.143;1.05;;;62.5
Indonesia;1.773.857;66.143;1.06;;;62.5
Indonesia;1.835.714;66.0;1.08;;;62.5
Indonesia;1.938.143;66.429;1.07;;;62.5
Indonesia;1.991.571;69.571;1.06;;;62.5
Indonesia;1.992.714;66.143;1.05;;;62.5
Indonesia;1960.0;62.286;1.04;;;59.72
